,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
76,CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66
77,DJ Hussey (CSK/KKR/KXIP),2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60
78,Abhishek Sharma (DC/SRH),2018-2024,59,57,7,1294,75*,25.88,845,153.13,0,6,2,122,66
79,SO Hetmyer (DC/RCB/RR),2019-2024,70,64,26,1213,75,31.92,788,153.93,0,4,2,73,81
80,KM Jadhav (CSK/DC/Kochi/RCB/SRH),2010-2023,95,81,27,1208,69,22.37,981,123.13,0,4,6,102,40
81,VR Iyer (KKR),2021-2024,47,46,5,1181,104,28.8,892,132.39,1,9,2,106,52
82,TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,0,9,6,140,24
83,IK Pathan (DC/GL/KXIP/RPS/SRH),2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37
84,NT Tilak Varma (MI),2022-2024,37,37,9,1124,84*,40.14,773,145.4,0,6,1,85,57
85,V Shankar (CSK/DC/GT/SRH),2014-2024,72,60,16,1115,63*,25.34,859,129.8,0,6,2,80,45
86,ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44
87,MM Ali (CSK/RCB),2018-2024,65,55,6,1096,93,22.36,772,141.96,0,5,5,91,63
88,M Vohra (KXIP/LSG/RCB/RR),2013-2023,56,51,2,1083,95,22.1,829,130.63,0,3,3,104,43
89,LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
90,R Parag (RR),2019-2024,65,54,9,1036,84*,23.02,763,135.77,0,6,3,75,55
91,LRPL Taylor (DC/PWI/RCB/RR),2008-2014,55,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46
92,R Tewatia (DC/GT/KXIP/RR),2014-2024,92,65,25,1013,53,25.32,752,134.7,0,1,0,84,47
93,KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40
94,MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,0,5,2,87,28
95,Y Venugopal Rao (DC/DCH/SRH),2008-2014,65,54,10,985,71*,22.38,836,117.82,0,3,2,77,37
96,A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41
97,AK Markram (PBKS/SRH),2021-2024,42,40,9,974,68*,31.41,742,131.26,0,5,2,70,35
98,JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55
99,CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36
100,LS Livingstone (PBKS/RR),2019-2024,38,38,6,939,94,29.34,576,163.02,0,6,0,66,66
101,BA Stokes (CSK/RPS/RR),2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32
102,B Sai Sudharsan (GT),2022-2024,24,24,3,931,96,44.33,692,134.53,0,6,0,90,24
103,DP Conway (CSK),2022-2023,23,22,3,924,92*,48.63,654,141.28,0,9,2,99,30
104,HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31
105,STR Binny (MI/RCB/RR),2010-2019,95,68,22,880,48*,19.13,683,128.84,0,0,7,66,35
106,RK Singh (KKR),2018-2024,42,39,11,873,67*,31.17,611,142.88,0,4,0,67,44
107,H Klaasen (RCB/RR/SRH),2018-2024,31,28,6,853,104,38.77,492,173.37,1,5,1,49,57
108,Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42
109,MS Bisla (KKR/KXIP/RCB),2010-2015,39,39,1,798,92,21.0,702,113.67,0,4,3,93,23
110,SM Curran (CSK/KXIP/PBKS),2019-2024,57,46,12,798,63,23.47,590,135.25,0,4,4,67,34
111,Shakib Al Hasan (KKR/SRH),2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21
112,R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,207,90,32,771,50,13.29,652,118.25,0,1,11,58,27
113,ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
114,GC Smith (PWI/RR),2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9
115,TM Head (RCB/SRH),2016-2024,21,21,4,738,102,43.41,412,179.12,1,5,1,73,39
116,AD Mathews (DC/KKR/PWI),2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29
117,TL Suman (DCH/MI/PWI),2009-2013,43,40,8,676,78*,21.12,575,117.56,0,2,3,55,26
118,Prabhsimran Singh (KXIP/PBKS),2019-2024,31,31,0,673,103,21.7,464,145.04,1,2,3,69,37
119,AM Nayar (KXIP/MI/PWI/RR),2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20
120,JM Sharma (PBKS),2022-2024,37,33,3,671,49*,22.36,444,151.12,0,0,2,50,41
121,MR Marsh (DC/DCH/PWI/RPS/SRH),2010-2024,42,36,2,665,89,19.55,521,127.63,0,3,5,48,38
