,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0,4s,6s,Team Name
115,E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,LSG/MI/RR
116,CH Morris,2013-2021,81,51,23,618,82,22.07,398,155.27,0,2,9,41,35,CSK/DC/RCB/RR
117,JJ Roy,2017-2023,21,21,2,614,91,32.31,443,138.6,0,4,0,75,21,DC/GL/KKR/SRH
118,SM Curran,2019-2023,46,36,11,613,55,24.52,428,143.22,0,3,3,50,31,CSK/KXIP/PBKS
119,PP Chawla,2008-2023,181,86,34,609,24,11.71,548,111.13,0,0,14,55,19,CSK/KKR/KXIP/MI
120,JD Ryder,2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,PWI/RCB
121,MR Marsh,2010-2023,38,32,2,604,89,20.13,483,125.05,0,3,4,39,35,DC/PWI/RPS/SRH
122,R Parag,2019-2023,54,44,7,600,56,16.21,484,123.96,0,2,3,44,27,RR
123,SN Khan,2015-2023,50,37,11,585,67,22.5,448,130.58,0,1,3,63,14,DC/KXIP/PBKS/RCB
124,HM Amla,2016-2017,16,16,3,577,104,44.38,407,141.76,2,3,2,60,21,KXIP
125,JM Sharma,2022-2023,26,24,3,543,49,25.85,341,159.23,0,0,1,44,33,PBKS
126,CJ Anderson,2014-2018,30,29,7,538,95,24.45,423,127.18,0,3,2,40,31,DC/MI/RCB
127,RS Bopara,2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16,KXIP/SRH
128,JP Faulkner,2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23,GL/KXIP/PWI/RR
129,H Klaasen,2018-2023,19,17,3,514,104,36.71,310,165.8,1,2,1,37,26,RCB/RR/SRH
130,M Manhas,2008-2014,55,38,15,514,42,22.34,470,109.36,0,0,6,43,10,CSK/DC/PWI
131,Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,KXIP/RCB
132,B Sai Sudharsan,2022-2023,13,13,2,507,96,46.09,370,137.02,0,4,0,47,15,GT
133,OA Shah,2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23,KKR/Kochi/RR
134,PC Valthaty,2009-2013,23,23,1,505,120,22.95,418,120.81,1,2,1,60,20,KXIP/RR
135,SW Billings,2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20,CSK/DC/KKR
136,DT Christian,2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,DC/RCB/RPS
137,C Green,2023-2023,16,16,7,452,100,50.22,282,160.28,1,2,0,40,22,MI
